size                 user_time            nonterminal_nodes    intermediate_nodes   terminal_nodes  packed_nodes    ambiguous_nodes
150                  188                  11325                11175                150             1676400         22052          
150                  187                  11325                11175                150             1676400         22052          
150                  189                  11325                11175                150             1676400         22052          
150                  185                  11325                11175                150             1676400         22052          
150                  188                  11325                11175                150             1676400         22052          
150                  186                  11325                11175                150             1676400         22052          
150                  187                  11325                11175                150             1676400         22052          
150                  186                  11325                11175                150             1676400         22052          
150                  185                  11325                11175                150             1676400         22052          
160                  234                  12880                12720                160             2035360         25122          
160                  235                  12880                12720                160             2035360         25122          
160                  236                  12880                12720                160             2035360         25122          
160                  234                  12880                12720                160             2035360         25122          
160                  235                  12880                12720                160             2035360         25122          
160                  244                  12880                12720                160             2035360         25122          
160                  234                  12880                12720                160             2035360         25122          
160                  236                  12880                12720                160             2035360         25122          
160                  233                  12880                12720                160             2035360         25122          
160                  237                  12880                12720                160             2035360         25122          
170                  286                  14535                14365                170             2442220         28392          
170                  299                  14535                14365                170             2442220         28392          
170                  300                  14535                14365                170             2442220         28392          
170                  305                  14535                14365                170             2442220         28392          
170                  296                  14535                14365                170             2442220         28392          
170                  299                  14535                14365                170             2442220         28392          
170                  299                  14535                14365                170             2442220         28392          
170                  301                  14535                14365                170             2442220         28392          
170                  300                  14535                14365                170             2442220         28392          
170                  299                  14535                14365                170             2442220         28392          
180                  363                  16290                16110                180             2899980         31862          
180                  361                  16290                16110                180             2899980         31862          
180                  360                  16290                16110                180             2899980         31862          
180                  358                  16290                16110                180             2899980         31862          
180                  368                  16290                16110                180             2899980         31862          
180                  364                  16290                16110                180             2899980         31862          
180                  363                  16290                16110                180             2899980         31862          
180                  363                  16290                16110                180             2899980         31862          
180                  357                  16290                16110                180             2899980         31862          
180                  356                  16290                16110                180             2899980         31862          
190                  447                  18145                17955                190             3411640         35532          
190                  442                  18145                17955                190             3411640         35532          
190                  443                  18145                17955                190             3411640         35532          
190                  437                  18145                17955                190             3411640         35532          
190                  446                  18145                17955                190             3411640         35532          
190                  442                  18145                17955                190             3411640         35532          
190                  440                  18145                17955                190             3411640         35532          
190                  451                  18145                17955                190             3411640         35532          
190                  439                  18145                17955                190             3411640         35532          
190                  442                  18145                17955                190             3411640         35532          
200                  547                  20100                19900                200             3980200         39402          
200                  537                  20100                19900                200             3980200         39402          
200                  542                  20100                19900                200             3980200         39402          
200                  557                  20100                19900                200             3980200         39402          
200                  540                  20100                19900                200             3980200         39402          
200                  548                  20100                19900                200             3980200         39402          
200                  550                  20100                19900                200             3980200         39402          
200                  541                  20100                19900                200             3980200         39402          
200                  539                  20100                19900                200             3980200         39402          
200                  538                  20100                19900                200             3980200         39402          
210                  642                  22155                21945                210             4608660         43472          
210                  671                  22155                21945                210             4608660         43472          
210                  652                  22155                21945                210             4608660         43472          
210                  651                  22155                21945                210             4608660         43472          
210                  652                  22155                21945                210             4608660         43472          
210                  647                  22155                21945                210             4608660         43472          
210                  660                  22155                21945                210             4608660         43472          
210                  650                  22155                21945                210             4608660         43472          
210                  658                  22155                21945                210             4608660         43472          
210                  654                  22155                21945                210             4608660         43472          
220                  760                  24310                24090                220             5300020         47742          
220                  773                  24310                24090                220             5300020         47742          
220                  763                  24310                24090                220             5300020         47742          
220                  768                  24310                24090                220             5300020         47742          
220                  786                  24310                24090                220             5300020         47742          
220                  761                  24310                24090                220             5300020         47742          
220                  773                  24310                24090                220             5300020         47742          
220                  762                  24310                24090                220             5300020         47742          
220                  767                  24310                24090                220             5300020         47742          
220                  759                  24310                24090                220             5300020         47742          
230                  910                  26565                26335                230             6057280         52212          
230                  921                  26565                26335                230             6057280         52212          
230                  912                  26565                26335                230             6057280         52212          
230                  936                  26565                26335                230             6057280         52212          
230                  903                  26565                26335                230             6057280         52212          
230                  907                  26565                26335                230             6057280         52212          
230                  898                  26565                26335                230             6057280         52212          
230                  910                  26565                26335                230             6057280         52212          
230                  903                  26565                26335                230             6057280         52212          
230                  902                  26565                26335                230             6057280         52212          
240                  1069                 28920                28680                240             6883440         56882          
240                  1052                 28920                28680                240             6883440         56882          
240                  1059                 28920                28680                240             6883440         56882          
240                  1042                 28920                28680                240             6883440         56882          
240                  1042                 28920                28680                240             6883440         56882          
240                  1044                 28920                28680                240             6883440         56882          
240                  1063                 28920                28680                240             6883440         56882          
240                  1041                 28920                28680                240             6883440         56882          
240                  1054                 28920                28680                240             6883440         56882          
240                  1049                 28920                28680                240             6883440         56882          
250                  1223                 31375                31125                250             7781500         61752          
250                  1205                 31375                31125                250             7781500         61752          
250                  1206                 31375                31125                250             7781500         61752          
250                  1246                 31375                31125                250             7781500         61752          
250                  1211                 31375                31125                250             7781500         61752          
250                  1201                 31375                31125                250             7781500         61752          
250                  1212                 31375                31125                250             7781500         61752          
250                  1201                 31375                31125                250             7781500         61752          
250                  1212                 31375                31125                250             7781500         61752          
250                  1204                 31375                31125                250             7781500         61752          
260                  1377                 33930                33670                260             8754460         66822          
260                  1378                 33930                33670                260             8754460         66822          
260                  1377                 33930                33670                260             8754460         66822          
260                  1422                 33930                33670                260             8754460         66822          
260                  1385                 33930                33670                260             8754460         66822          
260                  1397                 33930                33670                260             8754460         66822          
260                  1412                 33930                33670                260             8754460         66822          
260                  1384                 33930                33670                260             8754460         66822          
260                  1376                 33930                33670                260             8754460         66822          
260                  1378                 33930                33670                260             8754460         66822          
270                  1729                 36585                36315                270             9805320         72092          
270                  1570                 36585                36315                270             9805320         72092          
270                  1571                 36585                36315                270             9805320         72092          
270                  1558                 36585                36315                270             9805320         72092          
270                  1566                 36585                36315                270             9805320         72092          
270                  1588                 36585                36315                270             9805320         72092          
270                  1580                 36585                36315                270             9805320         72092          
270                  1569                 36585                36315                270             9805320         72092          
270                  1573                 36585                36315                270             9805320         72092          
270                  1575                 36585                36315                270             9805320         72092          
280                  1783                 39340                39060                280             10937080        77562          
280                  1772                 39340                39060                280             10937080        77562          
280                  1769                 39340                39060                280             10937080        77562          
280                  1774                 39340                39060                280             10937080        77562          
280                  1779                 39340                39060                280             10937080        77562          
280                  1825                 39340                39060                280             10937080        77562          
280                  1768                 39340                39060                280             10937080        77562          
280                  1793                 39340                39060                280             10937080        77562          
280                  1787                 39340                39060                280             10937080        77562          
280                  1816                 39340                39060                280             10937080        77562          
290                  2005                 42195                41905                290             12152740        83232          
290                  1996                 42195                41905                290             12152740        83232          
290                  2048                 42195                41905                290             12152740        83232          
290                  1992                 42195                41905                290             12152740        83232          
290                  2042                 42195                41905                290             12152740        83232          
290                  1990                 42195                41905                290             12152740        83232          
290                  2050                 42195                41905                290             12152740        83232          
290                  1994                 42195                41905                290             12152740        83232          
290                  1997                 42195                41905                290             12152740        83232          
290                  2023                 42195                41905                290             12152740        83232          
300                  2234                 45150                44850                300             13455300        89102          
300                  2247                 45150                44850                300             13455300        89102          
300                  2239                 45150                44850                300             13455300        89102          
300                  2233                 45150                44850                300             13455300        89102          
300                  2301                 45150                44850                300             13455300        89102          
300                  2267                 45150                44850                300             13455300        89102          
300                  2279                 45150                44850                300             13455300        89102          
300                  2282                 45150                44850                300             13455300        89102          
300                  2231                 45150                44850                300             13455300        89102          
300                  2231                 45150                44850                300             13455300        89102          
310                  2513                 48205                47895                310             14847760        95172          
310                  2499                 48205                47895                310             14847760        95172          
310                  2511                 48205                47895                310             14847760        95172          
310                  2526                 48205                47895                310             14847760        95172          
310                  2549                 48205                47895                310             14847760        95172          
310                  2487                 48205                47895                310             14847760        95172          
310                  2532                 48205                47895                310             14847760        95172          
310                  2478                 48205                47895                310             14847760        95172          
310                  2508                 48205                47895                310             14847760        95172          
310                  2478                 48205                47895                310             14847760        95172          
320                  2843                 51360                51040                320             16333120        101442         
320                  2834                 51360                51040                320             16333120        101442         
320                  2802                 51360                51040                320             16333120        101442         
320                  2769                 51360                51040                320             16333120        101442         
320                  2823                 51360                51040                320             16333120        101442         
320                  2771                 51360                51040                320             16333120        101442         
320                  2788                 51360                51040                320             16333120        101442         
320                  2779                 51360                51040                320             16333120        101442         
320                  2778                 51360                51040                320             16333120        101442         
320                  2878                 51360                51040                320             16333120        101442         
330                  3077                 54615                54285                330             17914380        107912         
330                  3065                 54615                54285                330             17914380        107912         
330                  3085                 54615                54285                330             17914380        107912         
330                  3083                 54615                54285                330             17914380        107912         
330                  3067                 54615                54285                330             17914380        107912         
330                  3097                 54615                54285                330             17914380        107912         
330                  3078                 54615                54285                330             17914380        107912         
330                  3085                 54615                54285                330             17914380        107912         
330                  3054                 54615                54285                330             17914380        107912         
330                  3164                 54615                54285                330             17914380        107912         
340                  3427                 57970                57630                340             19594540        114582         
340                  3426                 57970                57630                340             19594540        114582         
340                  3417                 57970                57630                340             19594540        114582         
340                  3360                 57970                57630                340             19594540        114582         
340                  3336                 57970                57630                340             19594540        114582         
340                  3284                 57970                57630                340             19594540        114582         
340                  3278                 57970                57630                340             19594540        114582         
340                  3283                 57970                57630                340             19594540        114582         
340                  3314                 57970                57630                340             19594540        114582         
340                  3292                 57970                57630                340             19594540        114582         
350                  3524                 61425                61075                350             21376600        121452         
350                  3543                 61425                61075                350             21376600        121452         
350                  3527                 61425                61075                350             21376600        121452         
350                  3559                 61425                61075                350             21376600        121452         
350                  3569                 61425                61075                350             21376600        121452         
350                  3539                 61425                61075                350             21376600        121452         
350                  3598                 61425                61075                350             21376600        121452         
350                  3542                 61425                61075                350             21376600        121452         
350                  3565                 61425                61075                350             21376600        121452         
350                  3566                 61425                61075                350             21376600        121452         
360                  3921                 64980                64620                360             23263560        128522         
360                  3873                 64980                64620                360             23263560        128522         
360                  3895                 64980                64620                360             23263560        128522         
360                  3893                 64980                64620                360             23263560        128522         
360                  3874                 64980                64620                360             23263560        128522         
360                  3865                 64980                64620                360             23263560        128522         
360                  3838                 64980                64620                360             23263560        128522         
360                  3836                 64980                64620                360             23263560        128522         
360                  3845                 64980                64620                360             23263560        128522         
360                  3986                 64980                64620                360             23263560        128522         
370                  4178                 68635                68265                370             25258420        135792         
370                  4161                 68635                68265                370             25258420        135792         
370                  4214                 68635                68265                370             25258420        135792         
370                  4170                 68635                68265                370             25258420        135792         
370                  4219                 68635                68265                370             25258420        135792         
370                  4184                 68635                68265                370             25258420        135792         
370                  4167                 68635                68265                370             25258420        135792         
370                  4222                 68635                68265                370             25258420        135792         
370                  4178                 68635                68265                370             25258420        135792         
370                  4297                 68635                68265                370             25258420        135792         
380                  4521                 72390                72010                380             27364180        143262         
380                  4478                 72390                72010                380             27364180        143262         
380                  4535                 72390                72010                380             27364180        143262         
380                  4514                 72390                72010                380             27364180        143262         
380                  4495                 72390                72010                380             27364180        143262         
380                  4543                 72390                72010                380             27364180        143262         
380                  4497                 72390                72010                380             27364180        143262         
380                  4587                 72390                72010                380             27364180        143262         
380                  4593                 72390                72010                380             27364180        143262         
380                  4508                 72390                72010                380             27364180        143262         
390                  4880                 76245                75855                390             29583840        150932         
390                  4908                 76245                75855                390             29583840        150932         
390                  4912                 76245                75855                390             29583840        150932         
390                  4896                 76245                75855                390             29583840        150932         
390                  4881                 76245                75855                390             29583840        150932         
390                  4967                 76245                75855                390             29583840        150932         
390                  4894                 76245                75855                390             29583840        150932         
390                  4947                 76245                75855                390             29583840        150932         
390                  4864                 76245                75855                390             29583840        150932         
390                  4974                 76245                75855                390             29583840        150932         
400                  5293                 80200                79800                400             31920400        158802         
400                  5270                 80200                79800                400             31920400        158802         
400                  5277                 80200                79800                400             31920400        158802         
400                  5337                 80200                79800                400             31920400        158802         
400                  5286                 80200                79800                400             31920400        158802         
400                  5356                 80200                79800                400             31920400        158802         
400                  5293                 80200                79800                400             31920400        158802         
400                  5262                 80200                79800                400             31920400        158802         
400                  5340                 80200                79800                400             31920400        158802         
