size                 user_time            descriptors          nonterminal_nodes    intermediate_nodes     terminal_nodes  packed_nodes    ambiguities
130                  1273                 210303               8515                 8385                   130             1090180         16512          
130                  1339                 210303               8515                 8385                   130             1090180         16512          
130                  1316                 210303               8515                 8385                   130             1090180         16512          
130                  1312                 210303               8515                 8385                   130             1090180         16512          
130                  1315                 210303               8515                 8385                   130             1090180         16512          
130                  1276                 210303               8515                 8385                   130             1090180         16512          
140                  1651                 243978               9870                 9730                   140             1362340         19182          
140                  1681                 243978               9870                 9730                   140             1362340         19182          
140                  1658                 243978               9870                 9730                   140             1362340         19182          
140                  1676                 243978               9870                 9730                   140             1362340         19182          
140                  1690                 243978               9870                 9730                   140             1362340         19182          
140                  1661                 243978               9870                 9730                   140             1362340         19182          
140                  1604                 243978               9870                 9730                   140             1362340         19182          
140                  1655                 243978               9870                 9730                   140             1362340         19182          
140                  1666                 243978               9870                 9730                   140             1362340         19182          
140                  1655                 243978               9870                 9730                   140             1362340         19182          
150                  2036                 280153               11325                11175                  150             1676400         22052          
150                  2061                 280153               11325                11175                  150             1676400         22052          
150                  2063                 280153               11325                11175                  150             1676400         22052          
150                  2027                 280153               11325                11175                  150             1676400         22052          
150                  2084                 280153               11325                11175                  150             1676400         22052          
150                  2052                 280153               11325                11175                  150             1676400         22052          
150                  2024                 280153               11325                11175                  150             1676400         22052          
150                  2037                 280153               11325                11175                  150             1676400         22052          
150                  2056                 280153               11325                11175                  150             1676400         22052          
150                  2015                 280153               11325                11175                  150             1676400         22052          
160                  2553                 318828               12880                12720                  160             2035360         25122          
160                  2467                 318828               12880                12720                  160             2035360         25122          
160                  2527                 318828               12880                12720                  160             2035360         25122          
160                  2525                 318828               12880                12720                  160             2035360         25122          
160                  2427                 318828               12880                12720                  160             2035360         25122          
160                  2519                 318828               12880                12720                  160             2035360         25122          
160                  2451                 318828               12880                12720                  160             2035360         25122          
160                  2533                 318828               12880                12720                  160             2035360         25122          
160                  2538                 318828               12880                12720                  160             2035360         25122          
160                  2422                 318828               12880                12720                  160             2035360         25122          
170                  3045                 360003               14535                14365                  170             2442220         28392          
170                  2946                 360003               14535                14365                  170             2442220         28392          
170                  3044                 360003               14535                14365                  170             2442220         28392          
170                  2971                 360003               14535                14365                  170             2442220         28392          
170                  3055                 360003               14535                14365                  170             2442220         28392          
170                  3057                 360003               14535                14365                  170             2442220         28392          
170                  3050                 360003               14535                14365                  170             2442220         28392          
170                  3068                 360003               14535                14365                  170             2442220         28392          
170                  2992                 360003               14535                14365                  170             2442220         28392          
170                  3082                 360003               14535                14365                  170             2442220         28392          
180                  3527                 403678               16290                16110                  180             2899980         31862          
180                  3671                 403678               16290                16110                  180             2899980         31862          
180                  3578                 403678               16290                16110                  180             2899980         31862          
180                  3640                 403678               16290                16110                  180             2899980         31862          
180                  3660                 403678               16290                16110                  180             2899980         31862          
180                  3603                 403678               16290                16110                  180             2899980         31862          
180                  3693                 403678               16290                16110                  180             2899980         31862          
180                  3587                 403678               16290                16110                  180             2899980         31862          
180                  3687                 403678               16290                16110                  180             2899980         31862          
180                  3575                 403678               16290                16110                  180             2899980         31862          
190                  4327                 449853               18145                17955                  190             3411640         35532          
190                  4227                 449853               18145                17955                  190             3411640         35532          
190                  4218                 449853               18145                17955                  190             3411640         35532          
190                  4337                 449853               18145                17955                  190             3411640         35532          
190                  4184                 449853               18145                17955                  190             3411640         35532          
190                  4272                 449853               18145                17955                  190             3411640         35532          
190                  4323                 449853               18145                17955                  190             3411640         35532          
190                  4207                 449853               18145                17955                  190             3411640         35532          
190                  4311                 449853               18145                17955                  190             3411640         35532          
190                  4290                 449853               18145                17955                  190             3411640         35532          
200                  5006                 498528               20100                19900                  200             3980200         39402          
200                  5060                 498528               20100                19900                  200             3980200         39402          
200                  5080                 498528               20100                19900                  200             3980200         39402          
200                  4947                 498528               20100                19900                  200             3980200         39402          
200                  4954                 498528               20100                19900                  200             3980200         39402          
200                  5053                 498528               20100                19900                  200             3980200         39402          
200                  5178                 498528               20100                19900                  200             3980200         39402          
200                  4973                 498528               20100                19900                  200             3980200         39402          
200                  4931                 498528               20100                19900                  200             3980200         39402          
200                  5076                 498528               20100                19900                  200             3980200         39402          
210                  5928                 549703               22155                21945                  210             4608660         43472          
210                  5827                 549703               22155                21945                  210             4608660         43472          
210                  5793                 549703               22155                21945                  210             4608660         43472          
210                  5727                 549703               22155                21945                  210             4608660         43472          
210                  5762                 549703               22155                21945                  210             4608660         43472          
210                  5778                 549703               22155                21945                  210             4608660         43472          
210                  5873                 549703               22155                21945                  210             4608660         43472          
210                  5908                 549703               22155                21945                  210             4608660         43472          
210                  5920                 549703               22155                21945                  210             4608660         43472          
210                  5802                 549703               22155                21945                  210             4608660         43472          
